t, real_GRF, FOB_GRF, posRWr_ref, posRWr, posRWtheta_ref, posRWtheta, tau_bi_m, tau_bi_b, qddot_m, qddot_b
0.000000, 0.000000, 7497.911218, -1141.394237, 0.433013, 1.570796, 1.047197, -1817841.176753, 1824073.867539, 731962.727034, 1217325.893719
0.001500, -53.543505, 795111.266206, 28.322455, 0.432333, 1.570796, 1.048488, 31274.125161, -31212.793267, -113077.386560, -186104.743733
0.003000, -79.818154, -659388.514204, 51.306170, 0.433254, 1.570796, 1.045182, 73422.955368, -65547.443394, -49354.630204, -88118.809700
0.004500, -62.753830, -947151.182220, 39.625571, 0.436195, 1.570796, 1.040967, 62053.976464, -51261.161682, -10131.065373, -25071.517669
0.006000, -49.500038, -604533.538725, 15.183256, 0.440581, 1.570796, 1.036512, 27527.108814, -15677.203592, -95.876154, -7481.993629
0.007500, 75.973338, -129933.942273, -2.856946, 0.445358, 1.570796, 1.034082, -719.852775, 13123.886015, 1201.053972, 568.365368
0.009000, 53.043028, 150333.292649, -8.427660, 0.447647, 1.570796, 1.042808, -10761.924345, 23315.181234, 517.764202, 7663.032779
0.010500, 43.681243, 200858.509387, -5.571228, 0.447733, 1.570796, 1.062112, -6855.252001, 19330.121229, 441.327856, 8438.409008
0.012000, 42.758624, 114544.856803, -0.013188, 0.446110, 1.570796, 1.090472, 2542.310950, 9743.982145, 640.149295, 7425.255915
0.013500, 46.924622, 2586.936505, 4.103543, 0.443100, 1.570796, 1.126798, 10276.353977, 1736.999902, 892.215338, 6274.645345
0.015000, -25.743587, -60217.023955, 4.563858, 0.439669, 1.570796, 1.167889, 11650.059535, 62.428675, 1682.688839, 1109.007521
0.016500, 63.181154, -62117.249766, 3.877916, 0.436689, 1.570796, 1.210835, 10725.889338, 739.302058, 1476.054404, 2278.150133
0.018000, 66.333549, -47593.145819, 2.944447, 0.432459, 1.570796, 1.260848, 9044.747269, 1990.371674, 1176.156202, 4258.723540
0.019500, 69.655105, -33189.010432, 2.348617, 0.427140, 1.570796, 1.317103, 7852.018118, 2626.141671, 1143.756454, 4269.634952
0.021000, 72.694340, -26329.323229, 2.178720, 0.420850, 1.570796, 1.378892, 7476.454109, 2354.008052, 1160.807359, 3773.369936
0.022500, 75.449091, -27410.362821, 2.292443, 0.413679, 1.570796, 1.445603, 7732.000318, 1370.875243, 1162.804549, 3252.928076
0.024000, 78.328516, -32808.726646, 2.475767, 0.405697, 1.570796, 1.516718, 8182.608709, 116.434267, 1148.578558, 2807.122458
0.025500, 61.584461, -33471.439174, 2.171116, 0.397435, 1.570796, 1.590540, 7361.871944, 89.745407, 1269.958206, 981.165408
0.027000, 59.281884, -28928.962626, 1.888079, 0.388958, 1.570796, 1.666726, 6486.027704, 76.630760, 1143.773452, 1355.234806
0.028500, 83.057141, -24158.904059, 1.627890, 0.380213, 1.570796, 1.745312, 5570.219123, 35.294348, 1127.694156, 816.637432
0.030000, 97.755953, -19583.282908, 1.344656, 0.371724, 1.570796, 1.824879, 4481.265554, 139.339353, 1163.266791, -387.011347
