t, real_GRF, FOB_GRF, posRWr_ref, posRWr, posRWtheta_ref, posRWtheta, tau_bi_m, tau_bi_b, qddot_m, qddot_b
0.000000, 0.000000, 7497.911218, -1141.394237, 0.433013, 1.570796, 1.047197, -1817841.176753, 1824073.867539, 731962.727034, 1217325.893719
0.001500, -54.654487, 647259.397787, 22.405893, 0.432271, 1.570796, 1.048675, 24408.446323, -24351.710057, -113117.844118, -185801.678642
0.003000, -80.847411, -521749.792822, 41.019603, 0.433070, 1.570796, 1.045737, 59093.343012, -51232.583592, -49367.397100, -88026.930977
0.004500, -63.650685, -752620.666406, 31.729419, 0.435921, 1.570796, 1.041818, 50318.838211, -39545.101782, -10122.990451, -25103.331276
0.006000, -50.281803, -478157.233983, 12.180323, 0.440245, 1.570796, 1.037606, 22798.455358, -10969.917374, -84.873723, -7534.756966
0.007500, 73.468156, -100361.805510, -2.024456, 0.444839, 1.570796, 1.035843, 629.367140, 11739.134607, 1130.544570, 1096.557634
0.009000, 51.736053, 118227.591505, -6.273202, 0.446894, 1.570796, 1.045436, -6998.688154, 19496.330563, 517.017819, 7749.694163
0.010500, 43.018141, 154784.429407, -3.921296, 0.446790, 1.570796, 1.065453, -3707.922027, 16117.349307, 468.985304, 8335.391873
0.012000, 42.419828, 84631.180734, 0.482480, 0.445003, 1.570796, 1.094408, 3770.701965, 8443.519012, 669.171080, 7301.484126
0.013500, 46.064687, -4182.435667, 3.713875, 0.441843, 1.570796, 1.131238, 9867.339005, 2067.836490, 916.119632, 6169.263869
0.015000, 53.973361, -57141.453886, 4.340189, 0.437641, 1.570796, 1.174771, 11477.725290, 102.832153, 1249.713333, 4373.405253
0.016500, 59.642414, -62214.661119, 3.755495, 0.432907, 1.570796, 1.223246, 10689.720993, 495.876542, 1377.472447, 3656.939147
0.018000, 64.566603, -49307.252759, 2.835752, 0.427205, 1.570796, 1.277802, 9000.974609, 1681.945504, 1339.450149, 3880.023427
0.019500, 68.707688, -34278.800603, 2.205483, 0.420601, 1.570796, 1.337913, 7693.038578, 2389.047088, 1337.725132, 3574.580165
0.021000, 72.021690, -26473.857989, 2.012218, 0.413170, 1.570796, 1.403027, 7215.329182, 2180.873745, 1325.313888, 3146.201366
0.022500, 74.718257, -26948.159303, 2.124723, 0.404971, 1.570796, 1.472647, 7414.279543, 1216.328483, 1290.305663, 2748.115851
0.024000, -1.366701, -32185.298706, 2.305447, 0.396059, 1.570796, 1.546323, 7803.377182, -15.033446, 1249.476096, 2357.988582
0.025500, 54.827044, -31464.614809, 1.971644, 0.387243, 1.570796, 1.621689, 6857.847090, 64.178483, 1348.580916, 385.440791
0.027000, 15.522184, -27158.372247, 1.723916, 0.379059, 1.570796, 1.697231, 6038.405832, 17.661131, 1355.865806, -1114.318709
0.028500, 73.775207, -22528.835592, 1.489217, 0.371661, 1.570796, 1.772463, 5175.491956, 2.617115, 1226.782448, -1324.360645
0.030000, 95.137005, -18071.814329, 1.226970, 0.364940, 1.570796, 1.847595, 4132.962920, 132.595520, 1080.185152, -1059.796877
0.031500, -25.202481, -13830.449876, 1.021508, 0.358545, 1.570796, 1.923441, 3169.170529, 127.913264, 943.957296, -454.594045
0.033000, -42.913805, -9774.324521, 0.897474, 0.352750, 1.570796, 1.999283, 2410.368138, -112.604972, 915.016969, -1034.986969
0.034500, 125.185108, -6071.243132, 0.709965, 0.348002, 1.570796, 2.073944, 1374.905519, -71.585080, 872.369362, -1682.997388
0.036000, 132.852910, -2575.805824, 0.497697, 0.344101, 1.570796, 2.147809, 149.267070, 147.240364, 761.130157, -1417.569628
0.037500, -0.377737, 341.761676, 0.366065, 0.340812, 1.570796, 2.218777, -830.408705, 144.721159, -1135.956890, -2805.949506
0.039000, -16.006166, 2676.998971, 0.334987, 0.338078, 1.570796, 2.279194, -1329.492223, -134.513681, -3345.376804, -4807.910730
0.040500, 33.327358, 4296.433497, 0.187036, 0.336071, 1.570796, 2.328459, -2271.201444, 173.579771, -3897.291813, -5710.685915
0.042000, -17.701041, 6029.092943, 0.221550, 0.334747, 1.570796, 2.366931, -2440.681384, -200.494385, -3915.205400, -5534.338161
