t, real_GRF, FOB_GRF, posRWr_ref, posRWr, posRWtheta_ref, posRWtheta, tau_bi_m, tau_bi_b, qddot_m, qddot_b
0.000000, 0.000000, 7497.911218, -3574.127847, 0.433013, 1.570796, 1.047197, -5697503.853660, 5703736.544447, 731962.727034, 1217325.893719
0.001500, -55.854363, 1747045.103733, 82.567180, 0.432540, 1.570796, 1.047826, 97096.293567, -97018.424134, -113006.006554, -187049.507762
0.003000, -72.639519, -1893964.599220, 136.293455, 0.433819, 1.570796, 1.043397, 193087.083066, -185164.162887, -49280.419755, -88333.273664
0.004500, -55.397276, -2546746.263696, 102.124924, 0.437036, 1.570796, 1.038530, 155920.223938, -145074.713847, -10042.611814, -24891.985489
0.006000, -41.486747, -1600206.555779, 37.303558, 0.441625, 1.570796, 1.033858, 63087.873783, -51191.402294, 7.758432, -7226.415592
0.007500, 90.114876, -339293.319380, -10.970116, 0.446793, 1.570796, 1.030838, -13557.122065, 26015.460654, 1508.658080, -383.603565
0.009000, 65.801894, 431117.340712, -26.829408, 0.449641, 1.570796, 1.038797, -42826.710444, 55454.939223, 719.422447, 7586.689418
0.010500, 56.019816, 585138.095743, -19.562806, 0.450198, 1.570796, 1.058096, -33467.857128, 46009.159640, 579.522449, 8820.616805
0.012000, 54.926217, 362226.592191, -4.564164, 0.449003, 1.570796, 1.087104, -8208.555774, 20539.814929, 757.686253, 7857.639801
0.013500, -58.422460, 62679.465972, 6.795016, 0.446407, 1.570796, 1.124580, 13134.879653, -1102.647066, 1000.736356, 6560.200936
0.015000, -57.643181, -105885.862465, 8.902343, 0.444799, 1.570796, 1.162439, 18375.057895, -6542.042314, 2182.082374, -2023.344377
0.016500, -39.867711, -113685.438448, 6.100437, 0.445562, 1.570796, 1.195783, 13707.254056, -1876.115146, 2429.380224, -5170.556513
0.018000, 91.004731, -55207.842180, 3.364949, 0.447092, 1.570796, 1.229399, 8372.517445, 3418.030532, 1399.805863, 498.601692
