t, real_GRF, FOB_GRF, posRWr_ref, posRWr, posRWtheta_ref, posRWtheta, tau_bi_m, tau_bi_b, qddot_m, qddot_b
0.000000, 0.000000, 7497.911218, -3574.042200, 0.433013, 1.570796, 1.047197, -5697367.266477, 5703599.957264, 731962.727034, 1217325.893719
0.001500, -55.150270, 1653950.316730, 79.138397, 0.432617, 1.570796, 1.047591, 93296.133236, -93211.791302, -112985.273243, -187213.388263
0.003000, -71.988012, -1813573.429255, 130.078505, 0.433969, 1.570796, 1.042949, 184604.033533, -176670.070293, -49276.158209, -88344.544423
0.004500, -54.836121, -2430004.695427, 97.304518, 0.437239, 1.570796, 1.037910, 148915.604459, -138057.189285, -10049.374098, -24860.560533
0.006000, -40.995966, -1524028.489819, 35.447806, 0.441864, 1.570796, 1.033096, 60287.995432, -48377.349709, -0.101397, -7192.456527
0.007500, 90.252671, -322056.503833, -10.501075, 0.447053, 1.570796, 1.029958, -12701.583490, 25175.275262, 1501.622747, -355.062749
0.009000, 65.846846, 411740.725380, -25.604003, 0.449918, 1.570796, 1.037819, -40591.487289, 53236.293317, 713.691957, 7609.558568
0.010500, 56.034230, 558247.406124, -18.667372, 0.450493, 1.570796, 1.057034, -31651.985900, 44211.119218, 575.354032, 8838.733737
0.012000, 54.939729, 345619.464649, -4.367942, 0.449315, 1.570796, 1.085971, -7564.560061, 19914.910812, 754.919324, 7872.022474
0.013500, 58.468919, 60087.422087, 6.477657, 0.446731, 1.570796, 1.123414, 12816.073638, -763.882067, 986.357595, 6658.568934
0.015000, -59.163404, -104407.346281, 8.890293, 0.444922, 1.570796, 1.161939, 18609.495700, -6775.166332, 2138.334913, -1678.548858
0.016500, -40.929670, -116151.569022, 6.089667, 0.445525, 1.570796, 1.195818, 13940.922373, -2118.251707, 2436.691246, -5166.306955
0.018000, 91.287733, -56762.819850, 3.254684, 0.447076, 1.570796, 1.229379, 8387.485245, 3403.768716, 1476.152446, -38.303872
0.019500, 84.952220, -14926.833311, 1.978372, 0.446765, 1.570796, 1.271775, 5661.426771, 5789.570651, 559.687720, 5665.428666
0.021000, 83.697648, -0.517716, 1.840784, 0.444815, 1.570796, 1.322219, 5353.481644, 5568.217803, 439.957133, 6314.662580
0.022500, 85.345530, -5338.859946, 2.282417, 0.441517, 1.570796, 1.379509, 6484.137146, 3807.736179, 538.415777, 5549.483635
0.024000, 88.617974, -18435.857781, 2.740386, 0.437066, 1.570796, 1.442694, 7777.535732, 1807.774159, 656.622738, 4649.240319
0.025500, 92.531870, -29088.961247, 2.952676, 0.431602, 1.570796, 1.511003, 8504.721344, 303.072102, 746.678222, 3872.771307
0.027000, 96.893571, -31038.688351, 2.627687, 0.425231, 1.570796, 1.583837, 7698.245489, 262.751236, 822.119835, 3256.037751
0.028500, 98.058771, -27920.571484, 2.368303, 0.418034, 1.570796, 1.660725, 6958.912323, 87.153084, 877.386659, 2765.239492
0.030000, 70.815990, -24072.295693, 2.093385, 0.410363, 1.570796, 1.740485, 6067.266603, 15.659610, 1023.774345, 1356.449722
0.031500, 111.188379, -19875.847089, 1.801817, 0.403018, 1.570796, 1.820796, 5017.914782, 104.397635, 1157.210297, -451.268607
0.033000, 12.475756, -15696.421769, 1.563937, 0.396095, 1.570796, 1.901344, 4036.344564, 115.336327, 1070.104898, -593.556075
0.034500, 5.443610, -11807.839143, 1.390781, 0.389452, 1.570796, 1.982469, 3207.386643, -64.161350, 970.868886, -579.273559
0.036000, 127.257905, -8235.165928, 1.187477, 0.383505, 1.570796, 2.063007, 2196.182049, -69.669346, 951.621399, -1465.232872
0.037500, 128.757527, -5058.218795, 0.936889, 0.378568, 1.570796, 2.141965, 904.896971, 218.309847, 828.032831, -2255.315728
