t,y_des, alpha_des, beta_des, y_est, alpha_est, beta_est, y_act, alpha_act, beta_act
0.000000, 0.353600, 0.000000, 0.000000, 0.433013, 0.000000, 0.000000, 0.700000, -0.061659, -0.000000
0.001500, 0.353600, 0.000000, 0.000000, 0.432440, -0.000023, 0.000432, 0.699979, -0.000001, -0.000026
0.003000, 0.353600, 0.000000, 0.000000, 0.433528, 0.000051, 0.001144, 0.699948, 0.000001, -0.000064
0.004500, 0.353600, 0.000000, 0.000000, 0.436598, 0.000107, 0.001687, 0.699950, 0.000002, 0.000160
0.006000, 0.353600, 0.000000, 0.000000, 0.441079, 0.000148, 0.002080, 0.699989, 0.000003, 0.000622
0.007500, 0.353600, 0.000000, 0.000000, 0.446011, 0.000392, 0.002852, 0.700069, 0.000008, 0.001312
0.009000, 0.353600, 0.000000, 0.000000, 0.448525, 0.000720, 0.003919, 0.700172, 0.000016, 0.002270
0.010500, 0.353600, 0.000000, 0.000000, 0.448804, 0.000982, 0.004818, 0.700298, 0.000023, 0.003473
0.012000, 0.353600, 0.000000, 0.000000, 0.447358, 0.001204, 0.005629, 0.700442, 0.000030, 0.004895
0.013500, 0.353600, 0.000000, 0.000000, 0.444520, 0.001413, 0.006403, 0.700590, 0.000035, 0.006515
0.015000, 0.353600, 0.000000, 0.000000, 0.441758, 0.002885, 0.009696, 0.700739, 0.000066, 0.008329
0.016500, 0.353600, 0.000000, 0.000000, 0.440171, 0.005787, 0.016790, 0.700885, 0.000128, 0.010326
0.018000, 0.353600, 0.000000, 0.000000, 0.438458, 0.007986, 0.026956, 0.701010, 0.000180, 0.012518
0.019500, 0.353600, 0.000000, 0.000000, 0.435304, 0.009826, 0.035731, 0.701099, 0.000228, 0.014859
0.021000, 0.353600, 0.000000, 0.000000, 0.430885, 0.011470, 0.043360, 0.701153, 0.000272, 0.017345
0.022500, 0.353600, 0.000000, 0.000000, 0.425382, 0.012958, 0.050178, 0.701173, 0.000304, 0.019963
0.024000, 0.353600, 0.000000, 0.000000, 0.418923, 0.014306, 0.056391, 0.701160, 0.000320, 0.022691
0.025500, 0.353600, 0.000000, 0.000000, 0.411913, 0.015094, 0.061170, 0.701115, 0.000314, 0.025484
0.027000, 0.353600, 0.000000, 0.000000, 0.404769, 0.015903, 0.064876, 0.701040, 0.000305, 0.028322
0.028500, 0.353600, 0.000000, 0.000000, 0.397569, 0.016494, 0.067599, 0.700931, 0.000294, 0.031187
0.030000, 0.353600, 0.000000, 0.000000, 0.390454, 0.016982, 0.069130, 0.700782, 0.000288, 0.034066
0.031500, 0.353600, 0.000000, 0.000000, 0.383639, 0.017318, 0.069641, 0.700589, 0.000286, 0.036956
0.033000, 0.353600, 0.000000, 0.000000, 0.377313, 0.017521, 0.069290, 0.700344, 0.000295, 0.039862
0.034500, 0.353600, 0.000000, 0.000000, 0.371630, 0.017591, 0.068243, 0.700042, 0.000317, 0.042794
0.036000, 0.353600, 0.000000, 0.000000, 0.366689, 0.017491, 0.066694, 0.699675, 0.000346, 0.045761
0.037500, 0.353600, 0.000000, 0.000000, 0.362531, 0.017219, 0.064818, 0.699235, 0.000379, 0.048733
0.039000, 0.353600, 0.000000, 0.000000, 0.359176, 0.016833, 0.062732, 0.698716, 0.000400, 0.051503
0.040500, 0.353600, 0.000000, 0.000000, 0.356609, 0.016343, 0.060544, 0.698121, 0.000394, 0.053954
0.042000, 0.353600, 0.000000, 0.000000, 0.354786, 0.015759, 0.058412, 0.697460, 0.000347, 0.055918
0.043500, 0.353600, 0.000000, 0.000000, 0.353638, 0.015063, 0.056256, 0.696750, 0.000264, 0.057428
0.045000, 0.353600, 0.000000, 0.000000, 0.353131, 0.014315, 0.054216, 0.696005, 0.000157, 0.058538
0.046500, 0.353600, 0.000000, 0.000000, 0.353189, 0.013514, 0.052271, 0.695240, 0.000036, 0.059293
0.048000, 0.353600, 0.000000, 0.000000, 0.353750, 0.012638, 0.050436, 0.694470, -0.000085, 0.059735
0.049500, 0.353600, 0.000000, 0.000000, 0.354794, 0.011709, 0.048682, 0.693704, -0.000190, 0.059896
